Gender;Age;Admission_Year;GPA;Total_Score;Math_EGE;Russian_EGE;Profile_EGE;Individual_Achievements;Admission_Category;Study_Form;Faculty;Competition_Per_Seat;Enrolled
Ж;19;2023;4,06;281;63;57;76;0;Общий конкурс;Очная;Юриспруденция;1,93;1
Ж;19;2020;3,9;223;97;51;84;0;Общий конкурс;Очная;Филология;5,7;0
Ж;18;2024;4,9;222;99;41;65;1;Общий конкурс;Очная;Медицина;8,04;0
М;19;2024;3,42;269;71;66;42;5;Общий конкурс;Заочная;Биология;4,12;0
М;19;2021;3,82;257;43;82;50;10;Общий конкурс;Очная;Юриспруденция;2,98;0
М;24;2020;3,03;249;93;54;69;7;Общий конкурс;Очная;Биология;5,22;0
Ж;17;2023;4,99;260;70;42;90;7;Общий конкурс;Заочная;Филология;5,66;0
Ж;20;2025;3,4;269;51;51;45;1;Общий конкурс;Очная;Физика;5,88;0
Ж;18;2020;3,91;221;51;90;89;9;Общий конкурс;Очная;Информатика;8,73;0
М;19;2025;3,15;229;52;41;83;7;Общий конкурс;Очная;Медицина;8,45;0
М;18;2020;4,32;273;53;80;92;3;Общий конкурс;Очная;Медицина;5,71;0
М;23;2023;3,44;287;96;58;98;4;Общий конкурс;Очная;Юриспруденция;1,87;0
Ж;25;2023;3,79;265;53;44;63;0;Общий конкурс;Очная;Экономика;1,87;0
Ж;17;2022;4,85;203;63;83;99;5;Общий конкурс;Заочная;Юриспруденция;5,01;0
Ж;21;2023;4,32;250;74;95;56;1;Общий конкурс;Очная;Информатика;5,46;0
Ж;18;2022;3,02;265;64;95;42;8;Общий конкурс;Очная;Физика;2,75;0
М;24;2025;3,33;273;56;92;100;3;Общий конкурс;Очная;Информатика;2,31;0
М;19;2022;4,18;236;71;64;63;5;Общий конкурс;Очная;Экономика;3,23;0
Ж;20;2024;4,88;288;45;61;89;8;Общий конкурс;Очная;Физика;9,12;0
М;18;2020;4,61;295;53;56;86;4;Общий конкурс;Очная;Экономика;9,49;0
М;17;2021;3,87;246;47;93;94;4;Общий конкурс;Очная;Экономика;8,36;0
М;17;2021;3,35;253;81;88;83;0;Общий конкурс;Очная;Информатика;2,95;0
М;19;2021;3,9;283;44;85;68;5;Общий конкурс;Очная;Биология;6,68;0
М;18;2021;3,95;227;92;84;50;7;Особая квота;Очная;Математика;9,53;0
Ж;21;2020;3,4;274;75;43;88;5;Общий конкурс;Очная;Математика;2,25;0
Ж;18;2025;4,49;246;91;48;85;2;Общий конкурс;Очная;Медицина;3,81;0
М;23;2021;4,03;259;74;60;78;5;Общий конкурс;Очная;Юриспруденция;4,93;1
Ж;17;2023;3,18;235;66;50;92;1;Общий конкурс;Очная;Экономика;3,03;0
Ж;19;2021;4,27;244;60;43;76;7;Общий конкурс;Очная;Юриспруденция;8,52;0
М;18;2021;4,48;275;65;89;75;4;Общий конкурс;Очная;Экономика;3,29;1
М;17;2024;4,3;216;52;95;79;3;Общий конкурс;Очная;Биология;6,98;0
М;17;2021;3;292;88;80;86;3;Общий конкурс;Очная;Юриспруденция;1,09;0
Ж;18;2023;3,84;268;98;46;89;5;Целевая квота;Очная;Экономика;5,87;0
Ж;17;2023;3,08;291;55;68;96;6;Общий конкурс;Очная;Медицина;8,58;0
Ж;18;2025;3,51;281;85;70;59;6;Общий конкурс;Очная;Физика;7,01;0
М;19;2022;4,17;210;66;78;48;8;Общий конкурс;Очная;Физика;9,33;0
Ж;19;2020;4,12;240;95;98;40;1;Общий конкурс;Очная;Экономика;2,43;0
М;22;2025;4,62;233;93;95;50;7;Целевая квота;Очная;Медицина;9,12;0
Ж;18;2024;3,82;284;40;52;69;7;Общий конкурс;Очная;Биология;2,36;0
М;17;2021;3,6;226;53;53;57;2;Общий конкурс;Очная;Медицина;6,19;0
Ж;17;2022;3,09;212;78;59;94;0;Общий конкурс;Очная;Экономика;4,2;0
